CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TÀI SẢN NGẮN HẠN,Q3 2023,4.55,PIV
Tiền Và Tương Đương Tiền,Q3 2023,1.55,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2023,0.00,PIV
Các Khoản Phải Thu,Q3 2023,2.19,PIV
"Hàng Tồn Kho, Ròng",Q3 2023,0.36,PIV
Tài Sản Lưu Động Khác,Q3 2023,0.45,PIV
TÀI SẢN DÀI HẠN,Q3 2023,0.49,PIV
Phải Thu Dài Hạn,Q3 2023,0.00,PIV
Tài Sản Cố Định,Q3 2023,0.18,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2023,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q3 2023,0.19,PIV
Đầu Tư Dài Hạn,Q3 2023,0.00,PIV
Tài Sản Dài Hạn Khác,Q3 2023,0.12,PIV
NỢ PHẢI TRẢ,Q3 2023,1.55,PIV
Nợ Ngắn Hạn,Q3 2023,0.40,PIV
Nợ Dài Hạn,Q3 2023,1.15,PIV
VỐN CHỦ SỞ HỮU,Q3 2023,3.49,PIV
Vốn Và Các Quỹ,Q3 2023,3.49,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2023,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2023,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q3 2023,5.04,PIV
TỔNG TÀI SẢN,Q4 2023,3.13,PIV
TÀI SẢN NGẮN HẠN,Q4 2023,2.86,PIV
Tiền Và Tương Đương Tiền,Q4 2023,1.73,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2023,0.00,PIV
Các Khoản Phải Thu,Q4 2023,0.72,PIV
"Hàng Tồn Kho, Ròng",Q4 2023,0.00,PIV
Tài Sản Lưu Động Khác,Q4 2023,0.41,PIV
TÀI SẢN DÀI HẠN,Q4 2023,0.27,PIV
Phải Thu Dài Hạn,Q4 2023,0.00,PIV
Tài Sản Cố Định,Q4 2023,0.17,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2023,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q4 2023,0.00,PIV
Đầu Tư Dài Hạn,Q4 2023,0.00,PIV
Tài Sản Dài Hạn Khác,Q4 2023,0.10,PIV
NỢ PHẢI TRẢ,Q4 2023,0.36,PIV
Nợ Ngắn Hạn,Q4 2023,0.36,PIV
Nợ Dài Hạn,Q4 2023,0.00,PIV
VỐN CHỦ SỞ HỮU,Q4 2023,2.77,PIV
Vốn Và Các Quỹ,Q4 2023,2.77,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2023,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2023,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q4 2023,3.13,PIV
TỔNG TÀI SẢN,Q1 2024,2.92,PIV
TÀI SẢN NGẮN HẠN,Q1 2024,2.44,PIV
Tiền Và Tương Đương Tiền,Q1 2024,0.47,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2024,0.00,PIV
Các Khoản Phải Thu,Q1 2024,1.60,PIV
"Hàng Tồn Kho, Ròng",Q1 2024,0.04,PIV
Tài Sản Lưu Động Khác,Q1 2024,0.32,PIV
TÀI SẢN DÀI HẠN,Q1 2024,0.48,PIV
Phải Thu Dài Hạn,Q1 2024,0.14,PIV
Tài Sản Cố Định,Q1 2024,0.16,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2024,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q1 2024,0.00,PIV
Đầu Tư Dài Hạn,Q1 2024,0.00,PIV
Tài Sản Dài Hạn Khác,Q1 2024,0.19,PIV
NỢ PHẢI TRẢ,Q1 2024,0.36,PIV
Nợ Ngắn Hạn,Q1 2024,0.36,PIV
Nợ Dài Hạn,Q1 2024,0.00,PIV
VỐN CHỦ SỞ HỮU,Q1 2024,2.55,PIV
Vốn Và Các Quỹ,Q1 2024,2.55,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2024,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2024,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q1 2024,2.92,PIV
TỔNG TÀI SẢN,Q2 2024,2.70,PIV
TÀI SẢN NGẮN HẠN,Q2 2024,2.11,PIV
Tiền Và Tương Đương Tiền,Q2 2024,1.13,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2024,0.00,PIV
Các Khoản Phải Thu,Q2 2024,0.57,PIV
"Hàng Tồn Kho, Ròng",Q2 2024,0.07,PIV
Tài Sản Lưu Động Khác,Q2 2024,0.34,PIV
TÀI SẢN DÀI HẠN,Q2 2024,0.59,PIV
Phải Thu Dài Hạn,Q2 2024,0.08,PIV
Tài Sản Cố Định,Q2 2024,0.15,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2024,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q2 2024,0.03,PIV
Đầu Tư Dài Hạn,Q2 2024,0.00,PIV
Tài Sản Dài Hạn Khác,Q2 2024,0.34,PIV
NỢ PHẢI TRẢ,Q2 2024,0.43,PIV
Nợ Ngắn Hạn,Q2 2024,0.43,PIV
Nợ Dài Hạn,Q2 2024,0.00,PIV
VỐN CHỦ SỞ HỮU,Q2 2024,2.27,PIV
Vốn Và Các Quỹ,Q2 2024,2.27,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2024,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2024,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q2 2024,2.70,PIV
TỔNG TÀI SẢN,Q3 2024,2.68,PIV
TÀI SẢN NGẮN HẠN,Q3 2024,1.99,PIV
Tiền Và Tương Đương Tiền,Q3 2024,0.07,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,0.00,PIV
Các Khoản Phải Thu,Q3 2024,1.50,PIV
"Hàng Tồn Kho, Ròng",Q3 2024,0.04,PIV
Tài Sản Lưu Động Khác,Q3 2024,0.38,PIV
TÀI SẢN DÀI HẠN,Q3 2024,0.69,PIV
Phải Thu Dài Hạn,Q3 2024,0.08,PIV
Tài Sản Cố Định,Q3 2024,0.14,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q3 2024,0.19,PIV
Đầu Tư Dài Hạn,Q3 2024,0.00,PIV
Tài Sản Dài Hạn Khác,Q3 2024,0.29,PIV
NỢ PHẢI TRẢ,Q3 2024,0.62,PIV
