CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2024,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2024,308.09,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2024,-93.92,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2024,214.17,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2024,13.88,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2024,200.29,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2024,1601,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2024,1601,AGG
EBITDA,Q1 2024,274.47,AGG
Các Khoản Giảm Trừ,Q2 2024,0.00,AGG
Doanh Số Thuần,Q2 2024,169.04,AGG
Giá Vốn Hàng Bán,Q2 2024,-141.23,AGG
Lãi Gộp,Q2 2024,27.81,AGG
Thu Nhập Tài Chính,Q2 2024,108.71,AGG
Chi Phí Tài Chính,Q2 2024,-79.61,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2024,0.00,AGG
Chi Phí Bán Hàng,Q2 2024,-26.17,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q2 2024,-23.17,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2024,7.57,AGG
"Thu Nhập Khác, Ròng",Q2 2024,-5.01,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2024,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2024,2.56,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2024,-1.00,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2024,1.56,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2024,-23.90,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2024,25.46,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2024,-158,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2024,-158,AGG
EBITDA,Q2 2024,-18.99,AGG
Các Khoản Giảm Trừ,Q3 2024,0.00,AGG
Doanh Số Thuần,Q3 2024,268.37,AGG
Giá Vốn Hàng Bán,Q3 2024,-215.87,AGG
Lãi Gộp,Q3 2024,52.49,AGG
Thu Nhập Tài Chính,Q3 2024,115.67,AGG
Chi Phí Tài Chính,Q3 2024,-40.13,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,AGG
Chi Phí Bán Hàng,Q3 2024,-47.56,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-26.24,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,54.24,AGG
"Thu Nhập Khác, Ròng",Q3 2024,-11.67,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,42.57,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-18.41,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,24.16,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,-0.13,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,24.29,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,95,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,95,AGG
EBITDA,Q3 2024,-18.81,AGG
Các Khoản Giảm Trừ,Q3 2018,0.00,AGG
Doanh Số Thuần,Q3 2018,116.13,AGG
Giá Vốn Hàng Bán,Q3 2018,-79.38,AGG
Lãi Gộp,Q3 2018,36.75,AGG
Thu Nhập Tài Chính,Q3 2018,11.80,AGG
Chi Phí Tài Chính,Q3 2018,-4.94,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2018,-0.00,AGG
Chi Phí Bán Hàng,Q3 2018,-5.71,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2018,-9.22,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2018,28.68,AGG
"Thu Nhập Khác, Ròng",Q3 2018,-7.15,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2018,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2018,21.53,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2018,-0.83,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2018,20.70,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2018,7.34,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2018,13.36,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2018,317,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2018,317,AGG
EBITDA,Q3 2018,--,AGG
Các Khoản Giảm Trừ,Q4 2018,0.00,AGG
Doanh Số Thuần,Q4 2018,60.37,AGG
Giá Vốn Hàng Bán,Q4 2018,-61.95,AGG
Lãi Gộp,Q4 2018,-1.58,AGG
Thu Nhập Tài Chính,Q4 2018,30.22,AGG
Chi Phí Tài Chính,Q4 2018,-12.61,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2018,0.00,AGG
Chi Phí Bán Hàng,Q4 2018,-6.22,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q4 2018,-16.01,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2018,-6.20,AGG
"Thu Nhập Khác, Ròng",Q4 2018,-1.07,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2018,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2018,-7.28,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2018,-4.96,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2018,-12.24,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2018,3.64,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2018,-15.88,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2018,-353,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2018,-353,AGG
EBITDA,Q4 2018,--,AGG
Các Khoản Giảm Trừ,Q1 2019,0.00,AGG
Doanh Số Thuần,Q1 2019,17.29,AGG
Giá Vốn Hàng Bán,Q1 2019,-9.62,AGG
Lãi Gộp,Q1 2019,7.67,AGG
Thu Nhập Tài Chính,Q1 2019,13.53,AGG
Chi Phí Tài Chính,Q1 2019,-5.36,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2019,0.00,AGG
Chi Phí Bán Hàng,Q1 2019,-0.41,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q1 2019,-24.03,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2019,-8.60,AGG
"Thu Nhập Khác, Ròng",Q1 2019,-0.92,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2019,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2019,-9.52,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2019,0.91,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2019,-8.61,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2019,2.24,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2019,-10.84,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2019,-159,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2019,0,AGG
EBITDA,Q1 2019,-16.15,AGG
Các Khoản Giảm Trừ,Q2 2019,0.00,AGG
Doanh Số Thuần,Q2 2019,168.15,AGG
Giá Vốn Hàng Bán,Q2 2019,-53.53,AGG
Lãi Gộp,Q2 2019,114.62,AGG
Thu Nhập Tài Chính,Q2 2019,24.39,AGG
Chi Phí Tài Chính,Q2 2019,-13.85,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2019,-0.26,AGG
Chi Phí Bán Hàng,Q2 2019,-1.12,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q2 2019,-21.62,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2019,102.15,AGG
"Thu Nhập Khác, Ròng",Q2 2019,0.03,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2019,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2019,102.18,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2019,-19.94,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2019,82.24,AGG
