CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-43.66,IJC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-1.35,IJC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,20.14,IJC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,141.77,IJC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,IJC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,161.92,IJC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-123.54,HDC
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-17.33,HDC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-151.48,HDC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-292.35,HDC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,314.96,HDC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,-0.00,HDC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,22.60,HDC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,4.15,HDG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,20.39,HDG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-220.18,HDG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-195.64,HDG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,472.31,HDG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,12.07,HDG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,288.74,HDG
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-0.57,CRE
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-23.20,CRE
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,20.05,CRE
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-3.72,CRE
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,101.68,CRE
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,CRE
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,97.96,CRE
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,"-2,332.16",KDH
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-2.38,KDH
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,"3,068.23",KDH
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,733.69,KDH
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,"2,561.58",KDH
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,KDH
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,"3,295.28",KDH
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-60.24,LSG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-226.43,LSG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,252.49,LSG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-34.18,LSG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,64.98,LSG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,LSG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,30.80,LSG
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,61.11,KOS
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-45.08,KOS
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-10.89,KOS
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,5.14,KOS
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,8.27,KOS
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,KOS
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,13.40,KOS
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,33.89,LHG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-107.84,LHG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-103.78,LHG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-177.73,LHG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,247.28,LHG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,LHG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,69.55,LHG
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,59.21,ITC
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,17.20,ITC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-89.54,ITC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-13.12,ITC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,115.82,ITC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.10,ITC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,102.79,ITC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-39.08,KBC
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,"5,432.61",KBC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,"1,048.42",KBC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,"6,441.96",KBC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,"1,210.27",KBC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,KBC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,"7,652.23",KBC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-30.25,DTA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,1.50,DTA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,30.34,DTA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,1.60,DTA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,1.27,DTA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,DTA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,2.87,DTA
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,70.77,CKG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-0.56,CKG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-55.30,CKG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,14.91,CKG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,29.59,CKG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,CKG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,44.50,CKG
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,375.81,HPX
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-73.06,HPX
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-297.97,HPX
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,4.79,HPX
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,13.29,HPX
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,HPX
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,18.08,HPX
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-21.27,LGL
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,12.73,LGL
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,12.67,LGL
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,4.13,LGL
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,2.53,LGL
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,LGL
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,6.66,LGL
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-0.44,FID
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,0.00,FID
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,0.00,FID
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-0.44,FID
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,0.96,FID
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,FID
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,0.52,FID
